lineup,stint_count
"('Thabo Sefolosha', 'Hasheem Thabeet', 'Reggie Jackson', 'Jeremy Lamb', 'Nick Collison')",6
"('Thabo Sefolosha', 'Serge Ibaka', 'Reggie Jackson', 'Jeremy Lamb', 'Kendrick Perkins')",6
"('Thabo Sefolosha', 'Jeremy Lamb', 'Perry Jones III', 'Kendrick Perkins', 'Derek Fisher')",5
"('Thabo Sefolosha', 'Serge Ibaka', 'Reggie Jackson', 'Jeremy Lamb', 'Nick Collison')",3
"('Thabo Sefolosha', 'Hasheem Thabeet', 'Jeremy Lamb', 'Perry Jones III', 'Diante Garrett')",3
"('Thabo Sefolosha', 'Kevin Durant', 'Serge Ibaka', 'Reggie Jackson', 'Kendrick Perkins')",2
"('Thabo Sefolosha', 'Serge Ibaka', 'Hasheem Thabeet', 'Reggie Jackson', 'Jeremy Lamb')",2
"('Thabo Sefolosha', 'Serge Ibaka', 'Jeremy Lamb', 'Perry Jones III', 'Kendrick Perkins')",2
"('Thabo Sefolosha', 'Serge Ibaka', 'Jeremy Lamb', 'Perry Jones III', 'Diante Garrett')",2
"('Thabo Sefolosha', 'Kevin Durant', 'Serge Ibaka', 'Reggie Jackson', 'Nick Collison')",1
