game_id,stint_count
0020000001,29
0020000002,40
0020000003,39
0020000004,32
0020000005,33
0020000006,28
0020000007,39
0020000008,29
0020000009,35
0020000010,34
0020000011,37
0020000012,24
0020000013,28
0020000014,45
0020000015,39
0020000016,30
0020000017,32
0020000018,39
0020000019,33
0020000020,41
0020000021,29
0020000022,36
0020000023,31
0020000024,40
0020000026,32
0020000027,27
0020000028,38
0020000029,25
0020000030,46
0020000031,31
0020000032,33
0020000033,40
0020000034,28
0020000035,31
0020000036,31
0020000037,35
0020000038,39
0020000039,36
0020000040,36
0020000041,28
0020000042,35
0020000043,30
0020000044,31
0020000046,32
0020000048,36
0020000049,42
0020000050,29
0020000051,41
0020000053,20
0020000055,36
0020000056,44
0020000057,29
0020000058,25
0020000059,33
0020000060,28
0020000061,28
0020000064,36
0020000065,30
0020000066,30
0020000067,30
0020000068,26
0020000070,37
0020000072,35
0020000074,32
0020000075,38
0020000076,26
0020000077,29
0020000078,31
0020000079,40
0020000080,36
0020000081,29
0020000082,37
0020000083,29
0020000084,29
0020000085,44
0020000086,27
0020000087,29
0020000089,35
0020000090,39
0020000091,23
0020000092,30
0020000094,33
0020000095,22
0020000096,30
0020000097,35
0020000098,32
0020000101,30
0020000102,36
0020000103,29
0020000104,26
0020000105,31
0020000106,29
0020000107,29
0020000108,26
0020000109,36
0020000110,27
0020000111,33
0020000112,34
0020000114,43
0020000115,28
0020000116,27
0020000117,36
0020000118,28
0020000119,25
0020000120,28
0020000121,18
0020000122,39
0020000123,37
0020000124,35
0020000125,29
0020000127,28
0020000128,33
0020000129,33
0020000130,29
0020000131,36
0020000132,37
0020000133,32
0020000134,26
0020000135,35
0020000136,31
0020000137,31
0020000138,29
0020000139,33
0020000140,26
0020000141,28
0020000142,30
0020000143,29
0020000144,29
0020000145,33
0020000146,38
0020000147,24
0020000148,40
0020000149,24
0020000150,26
0020000151,24
0020000152,32
0020000153,31
0020000154,32
0020000155,33
0020000157,36
0020000158,29
0020000159,27
0020000160,30
0020000161,38
0020000162,30
0020000163,28
0020000164,27
0020000167,27
0020000168,30
0020000169,29
0020000170,26
0020000172,31
0020000173,35
0020000174,39
0020000175,33
0020000176,33
0020000177,35
0020000179,31
0020000180,23
0020000181,27
0020000182,24
0020000183,33
0020000184,39
0020000185,27
0020000186,22
0020000187,23
0020000188,31
0020000189,25
0020000190,31
0020000191,29
0020000192,26
0020000193,31
0020000194,31
0020000196,24
0020000197,38
0020000198,31
0020000199,25
0020000200,37
0020000201,34
0020000202,29
0020000203,28
0020000204,25
0020000205,24
0020000206,26
0020000207,26
0020000208,32
0020000209,34
0020000210,31
0020000211,25
0020000212,34
0020000213,31
0020000214,26
0020000215,29
0020000216,32
0020000217,29
0020000218,31
0020000219,39
0020000221,32
0020000222,26
0020000223,32
