home_lineup_tuple,away_lineup_tuple,total_home_points,total_away_points,total_duration,total_stints,net_points,net_per_60
"('1717', '363', '458', '919', '93')","('123', '1505', '1721', '1899', '686')",6,0,7,1,6,51.42857142857142
"('1499', '1559', '179', '2040', '677')","('146', '1630', '182', '2043', '376')",5,0,6,1,5,50.0
"('1890', '201', '2091', '2092', '2101')","('2042', '2059', '223', '458', '762')",4,0,5,1,4,48.0
"('1890', '201', '2092', '2101', '915')","('1749', '1883', '1903', '2044', '983')",5,0,7,1,5,42.85714285714286
"('1717', '363', '458', '714', '762')","('209', '213', '349', '722', '788')",8,0,12,1,8,40.0
"('109', '216', '296', '323', '977')","('1005', '1749', '1903', '672', '983')",4,0,6,1,4,40.0
"('1709', '1838', '1885', '399', '976')","('1722', '1800', '236', '3', '763')",4,0,6,1,4,40.0
"('1890', '201', '2101', '361', '916')","('1498', '198', '251', '70', '764')",4,0,6,1,4,40.0
"('1890', '201', '2091', '361', '467')","('1000', '1005', '1508', '165', '1883')",-83,-95,19,1,12,37.89473684210526
"('1713', '213', '349', '722', '891')","('1088', '1112', '182', '2043', '376')",-75,-102,43,1,27,37.674418604651166
