feature,coefficient
away_std_player_impact,247.26964232236864
away_min_player_impact,71.44681316681493
star_gap,61.907981252438304
max_impact_diff,61.90798125243827
std_player_impact,33.18886424514214
min_player_impact,25.191585372151888
max_player_impact,11.894474336699712
away_avg_player_impact,1.9675310451472288
total_duration,-0.004149637910329403
total_stints,-0.008993017907581325
impact_balance,-4.6106005032668405
avg_player_impact,-22.425666763550282
avg_impact_diff,-24.393197808697725
min_impact_diff,-46.255227794663014
away_max_player_impact,-50.01350691573856
std_impact_diff,-214.08077807722654
